able_a
unable_a
dying_a
last_a
cut_a
absolute_a
direct_a
implicit_a
living_a
relative_a
resistant_a
ideal_a
real_a
ample_a
rich_a
easy_a
thick_a
long_a
rank_a
rare_a
tight_a
acceptable_a
unacceptable_a
handy_a
close_a
straight_a
true_a
away_a
outside_a
faulty_a
incorrect_a
wide_a
new_a
unused_a
accepted_a
given_a
active_a
about_a
quick_a
hot_a
off_a
going_a
open_a
dark_a
dead_a
slow_a
flat_a
live_a
actual_a
effective_a
potential_a
possible_a
chronic_a
addicted_a
clean_a
additional_a
extra_a
supplementary_a
adequate_a
equal_a
inadequate_a
lacking_a
wanting_a
substantive_a
plain_a
neat_a
clever_a
inept_a
good_a
positive_a
plus_a
negative_a
minus_a
sporting_a
better_a
best_a
well_a
advised_a
considered_a
aesthetic_a
cosmetic_a
taken_a
superior_a
forced_a
afraid_a
numb_a
competitive_a
rough_a
